rank,name,value
515,Calle Johansson,535
515,Ron Sutter,535
517,Mathew Barzal,534
518,Kenny Wharram,533
519,Erik Cole,532
520,Mark Osborne,531
521,Guy Charron,530
521,Valtteri Filppula,530
521,Tomas Holmström,530
521,Dave Poulin,530
525,Toe Blake,529
525,Sam Gagner,529
525,Syd Howe,529
525,Ron Stewart,529
529,Doug Bodger,528
529,Kevin Fiala,528
529,Camille Henry,528
529,Bryan McCabe,528
529,Joe Murphy,528
534,Wayne Simmonds,526
535,Dustin Byfuglien,525
535,Lucien DeBlois,525
537,Derek Roy,524
538,J.P. Dumont,523
538,Cam Fowler,523
540,Bryan Little,521
541,Ondřej Palát,520
542,Mike Rogers,519
543,Jesper Bratt,518
543,Tim Horton,518
545,Ron Schock,517
545,Alexander Semin,517
547,Jeff Friesen,516
547,Yanic Perreault,516
549,Aaron Broten,515
549,Brian Rafalski,515
549,Derek Stepan,515
549,Nels Stewart,515
549,Antoine Vermette,515
554,Jere Lehtinen,514
554,Bob Murray,514
556,Bob Nystrom,513
556,Tiger Williams,513
558,Shawn Horcoff,511
559,Patrick Flatley,510
560,Donald Audette,509
561,Tyson Barrie,508
561,Mark Johnson,508
561,Joel Otto,508
561,Elias Pettersson,508
565,Cale Makar,507
565,Darryl Sydor,507
567,Pavel Buchnevich,506
568,Brad Boyes,505
568,Nick Libett,505
570,Brian Campbell,504
571,Brian Bradley,503
571,Dennis Hextall,503
573,Bryan Rust,502
574,Bob Gainey,501
574,Mike Green,501
574,Valeri Kamensky,501
574,Greg Malone,501
574,Ryan Strome,501
579,Ed Jovanovski,500
580,Nino Niederreiter,499
581,Justin Faulk,498
581,Todd Marchant,498
581,Pierre Pilote,498
581,Gregg Sheppard,498
585,Radek Bonk,497
585,Nick Schmaltz,497
585,Craig Simpson,497
588,Jeff O'Neill,496
588,Al Secord,496
588,Tomáš Tatar,496
591,Zach Hyman,495
591,Darcy Rota,495
591,Sylvain Turgeon,495
591,Ľubomír Višňovský,495
595,Keith Crowder,494
595,Dion Phaneuf,494
597,Tony Granato,492
598,André Boudrias,491
599,Jason Robertson,490
600,Cam Atkinson,489
600,Dirk Graham,489
600,Andy McDonald,489
600,Steve Rucchin,489
604,Nelson Emerson,488
604,Nico Hischier,488
606,Brendan Gallagher,487
606,Mike Hoffman,487
606,Mike Richards,487
606,Marco Sturm,487
610,Jason Blake,486
610,Max Domi,486
610,Bruce Driver,486
613,Jason Allison,485
613,Quinn Hughes,485
615,Don Marcotte,484
615,Michael Ryder,484
615,Kevin Shattenkirk,484
618,Michal Handzuš,483
618,Torey Krug,483
618,Claude Larose,483
621,Brock Boeser,482
621,André Savard,482
621,Tod Sloan,482
624,Gerard Gallant,480
624,Craig MacTavish,480
626,Jim Fox,479
626,Yvon Lambert,479
626,Timo Meier,479
626,Ron Murphy,479
630,Dale McCourt,478
631,Dit Clapper,477
631,Dallas Drake,477
631,Paul Henderson,477
634,Howie Morenz,476
634,Nick Suzuki,476
634,Darcy Tucker,476
634,Eric Vail,476
638,Alex Goligoski,475
638,Busher Jackson,475
638,Kirill Kaprizov,475
641,Adrian Kempe,474
641,John McKenzie,474
643,Seth Jones,473
643,Frans Nielsen,473
645,Sid Abel,472
646,Doug Risebrough,471
646,Alexei Zhitnik,471
648,Mike Keane,470
648,Bruce MacGregor,470
650,Rob Niedermayer,469
650,Lee Stempniak,469
652,Steve Kasper,468
652,Jyrki Lumme,468
652,Jason Zucker,468
655,P.K. Subban,467
656,Gary Leeman,466
656,Steve Payne,466
658,Nik Antropov,465
658,Michael Peca,465
658,Eddie Shack,465
658,Zach Werenski,465
662,Andrew Cogliano,464
662,Doug Crossman,464
662,Mikael Renberg,464
662,Brent Seabrook,464
666,Jochen Hecht,463
666,Al Iafrate,463
666,Aurele Joliat,463
666,Kelly Miller,463
666,Brady Tkachuk,463
671,Shayne Gostisbehere,462
671,Cliff Koroll,462
671,Fredrik Modin,462
674,Tyler Bozak,461
675,Robert Thomas,460
676,Doug Smail,459
676,Ron Stackhouse,459
678,Sami Kapanen,458
679,Wade Redden,457
679,Tom Wilson,457
681,Jude Drouin,456
681,Wayne Merrick,456
681,Pierre Mondou,456
684,Pelle Eklund,455
684,Travis Green,455
684,Jerry Korab,455
687,Pat Boutette,453
687,Charlie Huddy,453
687,William Karlsson,453
690,Derek Sanderson,452
690,Craig Smith,452
692,Kristian Huselius,451
692,Dan Maloney,451
694,Randy Burridge,450
695,Blaine Stoughton,449
696,Dean McAmmond,448
696,Alex Tuch,448
696,Mike Walton,448
699,Kevin Hayes,446
699,Milan Michálek,446
701,Dick Redmond,445
702,Viktor Arvidsson,443
702,John Klingberg,443
702,Harry Watson,443
705,Dylan Strome,442
706,Ryan McDonagh,441
707,Shawn Burr,440
707,Mike O'Connell,440
707,Ian Turnbull,440
710,Alexander Edler,439
710,Lars Eller,439
710,Serge Savard,439
713,Wayne Babych,438
713,Rob Brown,438
713,Brandon Dubinsky,438
713,Jared McCann,438
713,Jared Spurgeon,438
718,Willi Plett,437
718,Vic Stasiuk,437
720,Chico Maki,436
720,John Tucker,436
722,Sylvain Côté,435
722,Mariusz Czerkawski,435
724,Rasmus Dahlin,434
724,Mark Streit,434
724,Andrei Svechnikov,434
727,Gaétan Duchesne,433
727,Tyler Johnson,433
727,Mario Marois,433
727,Allan Stanley,433
731,Syl Apps,432
731,Curt Fraser,432
731,Niklas Kronwall,432
731,Christian Ruuttu,432
735,Lorne Carr,431
735,Tim Connolly,431
735,Kevin Lowe,431
738,Woody Dumart,430
738,Ab McDonald,430
738,Tommy Williams,430
741,Håkan Loob,429
742,Jiří Hudler,428
742,Jack Hughes,428
742,Josh Morrissey,428
742,Mickey Redmond,428
742,Drew Stafford,428
747,Roy Conacher,427
747,Pierre-Luc Dubois,427
747,Ilkka Sinisalo,427
747,Carey Wilson,427
751,Martin Nečas,426
751,Terry Ruskowski,426
751,Hooley Smith,426
754,Frank St. Marseille,425
754,Kyle Turris,425
754,Alexander Wennberg,425
757,Frank Boucher,424
757,Jay Bouwmeester,424
757,Derek Morris,424
757,Jim Peplinski,424
757,Phil Russell,424
762,Bill Fairbairn,423
762,Nick Leddy,423
762,Gerry Meehan,423
762,Robert Picard,423
762,Stephen Weiss,423
767,Adam Fox,422
767,Patrik Laine,422
767,Walt Poddubny,422
770,Anson Carter,421
770,Roope Hintz,421
770,Nathan Horton,421
770,Boone Jenner,421
770,Tom Kurvers,421
775,Patrice Brisebois,420
775,André Burakovsky,420
775,Joffrey Lupul,420
775,Marty McInnis,420
775,Gordie Roberts,420
780,Harry Howell,418
780,Morris Lukowich,418
782,Bill Flett,417
782,Marek Židlický,417
784,Oliver Bjorkstrand,416
784,Bill Derlago,416
784,Ed Litzenberger,416
787,Jason Chimera,415
788,Dave Balon,414
788,Randy Cunneyworth,414
790,Craig Hartsburg,413
790,Brian MacLellan,413
790,Matt Stajan,413
793,Phillip Danault,411
793,Darren Turcotte,411
795,Phil Watson,410
796,Alexandre Burrows,409
796,Pascal Dupuis,409
796,Tim Stützle,409
799,Réjean Houle,408
800,Sweeney Schriner,407
800,Jerry Toppazzini,407
800,Pavel Zacha,407
803,Aaron Ekblad,406
803,Tyler Myers,406
803,Tage Thompson,406
806,Earl Ingarfield,405
806,Petri Skriko,405
808,Blake Dunlop,404
808,Pat Hickey,404
808,Mike McEwen,404
811,Adam Creighton,403
811,Doug Jarvis,403
811,Brad McCrimmon,403
814,Paul Gardner,402
814,Bill Hicke,402
814,Shea Theodore,402
817,Mattias Ekholm,401
817,Jean-Gabriel Pageau,401
817,Marc Tardif,401
820,Valeri Bure,400
820,Alan Haworth,400
822,Adrian Aucoin,399
822,Jim Lorentz,399
822,Tom McCarthy,399
822,Mike McPhee,399
822,Petr Svoboda,399
827,Herb Cain,398
827,Steve Chiasson,398
827,Matt Cooke,398
827,Éric Dazé,398
827,Jonathan Drouin,398
827,George Ferguson,398
827,Clint Smith,398
834,Gus Bodnar,397
834,Alex Frolov,397
834,Anders Hedberg,397
834,Buddy O'Connor,397
834,Scott Walker,397
839,Charlie Conacher,396
839,Steve Konowalchuk,396
841,Maxim Afinogenov,395
842,Sam Bennett,394
842,Jeff Petry,394
844,Errol Thompson,393
845,Cal Gardner,392
845,R.J. Umberger,392
845,Dennis Ververgaert,392
848,Andy Hebenton,391
849,Lowell MacDonald,390
849,Dave Manson,390
851,Jarret Stoll,388
851,Eric Weinrich,388
853,Marty Barry,387
853,Daniel Cleary,387
853,Mark Parrish,387
853,Ric Seiling,387
853,Dennis Wideman,387
858,Ryan Callahan,386
858,Bill Hay,386
858,Pavel Kubina,386
861,Michael Frolík,384
861,Mark Hunter,384
861,Sergei Makarov,384
861,Mush March,384
861,Jeff Norton,384
861,Bob Probert,384
861,Zarley Zalapski,384
868,Jean-Guy Gendron,383
868,Mike Grier,383
870,Bob Errey,382
870,Steve Reinprecht,382
872,Martin Lapointe,381
872,Todd White,381
874,Orest Kindrachuk,379
874,Andrei Kovalenko,379
874,Marc-Édouard Vlasic,379
874,Richard Zedník,379
878,Greg Gilbert,378
878,Jordan Kyrou,378
880,German Titov,377
881,Artem Anisimov,376
882,Yanni Gourde,375
882,Erik Haula,375
882,Mike Johnson,375
882,Steve Smith,375
886,Doug Brown,374
887,Adam Deadmarsh,373
887,Jeff Halpern,373
887,Jakob Silfverberg,373
890,Dean Evason,372
890,Johnny Gottselig,372
890,Greg Paslawski,372
893,Brandon Hagel,371
893,Tony Hrkac,371
895,Johan Franzén,370
895,John-Michael Liles,370
895,Ryan Malone,370
895,Moe Mantha,370
895,Chandler Stephenson,370
895,Juha Widing,370
901,Greg Johnson,369
901,Fleming Mackell,369
901,Matt Moulson,369
901,Stefan Persson,369
901,Dave Reid,369
901,Mikhail Sergachev,369
901,Sid Smith,369
908,Mark Hardy,368
908,Brad Maxwell,368
908,Jim Neilson,368
