rank,name,value
532,Matt Murray,2
532,Maxime Ouellet,2
532,Eddie Pasquale,2
532,Hunter Shepard,2
532,Mackenzie Skapski,2
532,John Tanner,2
532,Michael Wall,2
566,David Ayres,1
566,Kevin Boyle,1
566,Ed Chadwick,1
566,Magnus Chrona,1
566,Sebastian Cossa,1
566,Don Cutts,1
566,Jean-Francois Damphousse,1
566,Philippe DeRouville,1
566,Chad Erickson,1
566,Dylan Ferguson,1
566,Zachary Fucale,1
566,David Goverde,1
566,Gerry Gray,1
566,Kristers Gudlevskis,1
566,Derek Gustafson,1
566,Hannu Kamppuri,1
566,Dieter Kochan,1
566,Niklas Kokko,1
566,Gary Kurt,1
566,Nathan Lawson,1
566,Ray LeBlanc,1
566,Mike Lenarduzzi,1
566,Nathan Lieuwen,1
566,Danny Lorenz,1
566,Eetu Makiniemi,1
566,Kevin Mandolese,1
566,George Maneluk,1
566,Peter Mannino,1
566,Darrell May,1
566,Thomas McCollum,1
566,Dave McLelland,1
566,Mike Minard,1
566,Trent Miner,1
566,Hunter Miska,1
566,Sergei Murashov,1
566,Sergei Mylnikov,1
566,Cristopher Nilstorp,1
566,Jean-Marc Pelletier,1
566,Justin Pogge,1
566,Erik Portillo,1
566,Mike Rosati,1
566,Cody Rudkowsky,1
566,Geoff Sarjeant,1
566,Zachary Sawchenko,1
566,Arsenii Sergeev,1
566,Richard Shulmistra,1
566,Paul Skidmore,1
566,Jeremy Smith,1
566,Rastislav Stana,1
566,Tobias Stephan,1
566,Iiro Tarkki,1
566,Dave Tataryn,1
566,Daniel Taylor,1
566,Ted Tucker,1
566,Matt Villalta,1
566,Adam Werner,1
566,Carl Wetzel,1
566,Matthew Yeats,1
566,Mike Zanier,1
625,Sami Aittokallio,0
625,Artur Akhtyamov,0
625,Jett Alexander,0
625,Hugo Alnefelt,0
625,Jorge Alves,0
625,Kenneth Appleby,0
625,Tom Askey,0
625,Ryan Bach,0
625,Johan Backlund,0
625,Chris Beckford-Tseu,0
625,Matthew Berlin,0
625,Gilles Boisvert,0
625,Landon Bow,0
625,Martin Brochu,0
625,Ken Brown,0
625,Tyler Bunz,0
625,Vyacheslav Buteyets,0
625,Don Caley,0
625,Sebastien Centomo,0
625,Mathieu Chouinard,0
625,Chris Clifford,0
625,Gerald Coleman,0
625,Wayne Cowley,0
625,Corrie D'Alessio,0
625,Mark Dekanich,0
625,Michael DiPietro,0
625,Rob Dopson,0
625,Bruce Dowie,0
625,Jeremy Duchesne,0
