rank,name,value
977,Kel'el Ware,127
977,Freeman Williams,127
982,Chris Ford,126
982,Dwight Powell,126
982,Marcus Williams,126
985,Tony Allen,125
985,Marcus Banks,125
985,Jon Leuer,125
985,Abdel Nader,125
985,Purvis Short,125
990,Egor Demin,124
990,A.C. Green,124
990,Adam Morrison,124
990,Michael Ray Richardson,124
994,Shabazz Muhammad,123
994,Baylor Scheierman,123
996,Yakhouba Diawara,122
996,Gui Santos,122
998,Donatas Motiejunas,121
998,Duane Washington Jr.,121
1000,J.R. Bremer,120
